,test,hw,sample,worst_frame,max_fps,avg_fps,avg_fr,1%_low,wifps_10,wifps_5,wifps_2,wifps_1,wifps_0.5
25,3.0,gskill_36c16,1.0,0.0504743,256.82238864543103,177.01010573059284,171.5962949536025,129.51141321170047,137.15415253108128,132.32503416120792,130.02436481768817,126.62151230143927,123.81714827096164
26,3.0,gskill_36c16,2.0,0.027549,252.39770650705796,174.66440242215566,169.59769262339185,129.28468095131603,135.71761173660835,132.07171440844658,129.71079776530027,126.88451575975711,122.52855656020292
27,3.0,gskill_36c16,3.0,0.0273495,250.56580246731613,174.15969160368593,169.23831159264043,129.11624761684348,135.12985714937702,131.99355677885384,129.91252956756998,126.61059651722861,123.60441686924763
28,3.0,gskill_36c16,4.0,0.027206900000000003,253.018191465171,174.00598355975478,169.0300654392324,128.53254827916155,134.96217748055463,131.63691663090975,129.25546428571428,125.99479999999998,120.77922157901222
29,3.0,gskill_36c16,5.0,0.0280273,253.67669735327965,174.19108288809767,169.16289013191536,128.69218681919637,135.35009788524874,131.71771914354824,129.54314346449172,126.16461542123933,123.20202365119874
30,3.0,gskill_36c16,6.0,0.0275501,252.5626469485807,174.34388169022907,169.35124769531737,129.1208553523784,135.18271102630547,132.39024211913275,129.9161519948045,127.24066085564348,123.51453260015708
31,3.0,gskill_36c16,7.0,0.0278871,251.49095592606213,174.51544332209815,169.53486802438798,128.70279048337585,135.54005452686582,131.82425309047727,129.90784524449214,126.3238105224103,121.99553950722174
32,4.0,gskill_36c18,0.0,0.029388,260.6909857834713,179.27896765586559,173.58885898377977,128.00224975225038,138.73802640177738,131.2179807605861,127.47992977283833,122.24457879303483,117.80978191035774
33,4.0,gskill_36c18,1.0,0.0288706,255.27271606156268,175.287041090296,169.7204842880327,125.6283160960414,134.91155479688638,128.318769508628,125.3741066304971,122.0995402486466,119.8934773235075
34,4.0,gskill_36c18,2.0,0.027099599999999998,252.68609649685627,174.6928773915404,169.24711018779786,126.12154192670334,134.4204996601747,128.89215877030844,126.28270941173108,122.83842999837435,121.75610242700527
